price,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,renovation,lat,long,sqft_living15,sqft_lot15,bathrooms,year_of_sale,house_age,bed_bath_ratio,lot_utilization,log_sqft_lot,log_sqft_lot15,log_price,log_sqft_basement,log_bed_bath_ratio,log_sqft_above,log_sqft_living,log_lot_utilization,log_sqft_living15
475000,4,2040,16200,2,0,0,3,8,2040,0,1997,0,47.7366,-121.958,2530,15389,2.5,2015,18,1.6,0.1259259259,9.6928282477,9.6414732268,13.071070083,0,0.4700036292,7.6207050868,7.6207050868,-2.072061434,7.8359745817
316000,4,2120,46173,2,0,0,3,7,2120,0,1974,0,47.6503,-121.968,2000,46173,1.5,2015,41,2.6666666667,0.0459142789,10.740172148,10.740172148,12.663497493,0,0.980829253,7.6591713677,7.6591713677,-3.080979123,7.6009024595
802000,4,2130,8734,2,0,2,4,8,2130,0,1961,0,47.5672,-122.161,2550,8800,2.25,2014,53,1.7777777778,0.2438745134,9.0750932226,9.0826206304,13.594863887,0,0.5753641449,7.6638772587,7.6638772587,-1.411101475,7.8438486382
905000,4,3330,9557,2,0,0,3,10,3330,0,1995,0,47.5526,-122.102,3360,9755,2.5,2015,20,1.6,0.3484357016,9.1651337791,9.1856377593,13.715690223,0,0.4700036292,8.110727583,8.110727583,-1.054301566,8.119696253
700000,4,2440,9450,1.5,0,0,3,7,2440,0,1947,1,47.7061,-122.307,1720,7503,2.25,2014,67,1.7777777778,0.2582010582,9.153875835,8.9231914907,13.458835614,0,0.5753641449,7.7997533183,7.7997533183,-1.354016702,7.4500795698
178500,3,900,10511,1,0,0,4,6,900,0,1961,0,47.2883,-122.272,1460,10643,1,2015,54,3,0.0856245838,9.2602727407,9.2727516321,12.09234388,0,1.0986122887,6.8023947633,6.8023947633,-2.457782843,7.2861917147
950000,7,3470,16264,2,0,0,4,9,3470,0,1980,0,47.6203,-122.149,3040,13500,3.5,2015,35,2,0.2133546483,9.6967708389,9.5105190358,13.764217264,0,0.6931471806,8.1519098729,8.1519098729,-1.544799482,8.0196127944
247000,3,1580,7941,2,0,0,4,7,1580,0,1986,0,47.2843,-122.357,1730,8051,2.25,2014,28,1.3333333333,0.1989673845,8.9799204117,8.9936757868,12.417143616,0,0.2876820725,7.365180126,7.365180126,-1.614614365,7.4558766875
387846,4,2520,15205,1,0,0,4,7,2040,480,1954,0,47.7642,-122.264,1680,10000,1.75,2014,60,2.2857142857,0.1657349556,9.6294453658,9.210440367,12.868363633,6.1758672701,0.8266785732,7.6207050868,7.8320141805,-1.79736542,7.4265490724
370000,3,1570,16817,2,0,0,3,7,1570,0,1982,0,47.4716,-121.756,1600,16817,1.75,2014,32,1.7142857143,0.0933579116,9.7302050204,9.7302050204,12.821258285,0,0.5389965007,7.3588308983,7.3588308983,-2.37131466,7.3777589082
529000,3,2340,7724,1,0,0,3,10,2340,0,2010,0,47.4593,-122.134,3040,5787,1.75,2015,5,1.7142857143,0.3029518384,8.9522171018,8.6635420878,13.178743711,0,0.5389965007,7.7579062084,7.7579062084,-1.194181435,8.0196127944
335000,3,1410,44866,1,0,0,4,7,1410,0,1985,0,47.3273,-122.37,2950,29152,2,2015,30,1.5,0.0314269157,10.711457837,10.280313102,12.721885811,0,0.4054651081,7.2513449834,7.2513449834,-3.460090565,7.9895604493
465500,3,1890,7004,1,0,0,3,7,1290,600,1965,0,47.5557,-122.28,1440,5378,1.75,2014,49,1.7142857143,0.2698458024,8.8543794588,8.5902577623,13.050867376,6.3985949345,0.5389965007,7.1623974974,7.5443321081,-1.309904585,7.2723983926
654950,4,2790,45902,2,0,0,3,9,2790,0,1987,0,47.7674,-122.086,2890,42421,2.5,2014,27,1.6,0.0607816653,10.734285753,10.655422375,13.392314176,0,0.4700036292,7.9337968748,7.9337968748,-2.800467093,7.9690117811
612000,5,2300,7000,1,0,0,3,8,1290,1010,1975,0,47.6875,-122.122,2080,7280,2.5,2015,40,2,0.3285714286,8.853808275,8.8930234944,13.324487561,6.918695219,0.6931471806,7.1623974974,7.7406644019,-1.113001026,7.6401231727
520000,3,2510,43995,2,0,0,3,8,2510,0,1981,0,47.4545,-121.988,2470,48351,2.5,2014,33,1.2,0.0570519377,10.691854,10.786262865,13.161584091,0,0.1823215568,7.8280380321,7.8280380321,-2.863793238,7.8119734296
575000,2,1510,4032,1.5,0,0,3,8,1310,200,1935,0,47.6371,-122.393,1700,4042,1,2014,79,2,0.3745039683,8.3022657949,8.3047422696,13.26212532,5.3033049081,0.6931471806,7.1777824162,7.3198649298,-0.98215288,7.43838353
268000,4,1930,6600,1,0,0,4,7,1030,900,1967,0,47.482,-122.332,1220,6600,2,2014,47,2,0.2924242424,8.7949764317,8.7949764317,12.498742259,6.8035052576,0.6931471806,6.9373140812,7.5652752819,-1.229549646,7.1066061377
330000,2,520,6862,1,0,0,4,4,520,0,1924,1,47.326,-122.037,1170,8756,0.75,2014,90,2.6666666667,0.0757796561,8.8338999429,9.0776086595,12.706847933,0,0.980829253,6.2538288116,6.2538288116,-2.579925412,7.0647590278
627250,4,2830,10677,2,0,0,3,9,2830,0,1993,0,47.742,-122.208,2970,9619,2.5,2015,22,1.6,0.2650557273,9.2759408291,9.1715995437,13.349100464,0,0.4700036292,7.9480319906,7.9480319906,-1.327815184,7.9963172318
290000,4,2340,52272,2,0,0,2,8,2340,0,1978,0,47.3468,-122.091,2480,40500,2.5,2014,36,1.6,0.0447658402,10.864235264,10.609081944,12.577636202,0,0.4700036292,7.7579062084,7.7579062084,-3.106309925,7.8160138392
537500,4,2550,4630,2,0,0,3,7,2550,0,2005,0,47.5928,-122.004,2550,5151,2.5,2014,9,1.6,0.5507559395,8.4405281065,8.5471402678,13.194684039,0,0.4700036292,7.8438486382,7.8438486382,-0.596463509,7.8438486382
240000,3,1030,11118,1,0,0,5,7,1030,0,1970,0,47.3463,-122.308,1300,7920,2,2014,44,1.5,0.0926425616,9.3164106357,8.9772727395,12.388394202,0,0.4054651081,6.9373140812,6.9373140812,-2.379006614,7.1701195434
205000,3,970,7700,1,0,0,4,7,970,0,1959,0,47.3793,-122.304,1160,8250,1,2015,56,3,0.125974026,8.9491054695,9.0180896841,12.230765258,0,1.0986122887,6.8772960715,6.8772960715,-2.071679536,7.0561752841
